seller_id,total_orders,avg_review_score,avg_delivery_time,total_revenue
0015a82c2db000af6aaaf3ae2ecb0532,3,3.6666666666666665,10.333333333333334,2685.0
001cca7ae9ae17fb1caed9dfb1094831,241,3.911764705882353,12.60593220338983,25248.93
001e6ad469a905060d959994f1b41e4f,1,1.0,,250.0
002100f778ceb8431b7a1020ff7ab48f,59,4.033898305084746,15.482758620689655,1303.1
004c9cd9d87a3c30c522c48c4fc07416,170,4.149700598802395,13.880239520958083,19293.01
00720abe85ba0859807595bbf045a33b,26,3.6538461538461537,8.153846153846153,1007.5
00ab3eff1b5192e5f1a63bcecfee11c8,1,5.0,9.0,98.0
00d8b143d12632bad99c0ad66ad52825,1,5.0,7.0,86.0
00ee68308b45bc5e2660cd833c3f81cc,189,4.292553191489362,8.518518518518519,21959.0
00fc707aaaad2d31347cf883cd2dfe10,142,3.7375886524822697,15.21830985915493,13409.9
010543a62bd80aa422851e79a3bc7540,2,4.5,8.5,1416.0
010da0602d7774602cd1b3f5fb7b709e,5,1.0,26.0,849.5
011b0eaba87386a2ae96a7d32bb531d1,2,4.0,25.0,99.98
01266d4c46afa519678d16a8b683d325,3,5.0,5.333333333333333,90.25
013900e863eace745d3ec7614cab5b1a,27,4.7407407407407405,11.222222222222221,1664.6
014c0679dd340a0e338872e7ec85666a,16,3.625,18.75,7168.0
014d9a685fd57276679edd00e07089e5,12,3.8333333333333335,8.5,729.88
0176f73cc1195f367f7b32db1e5b3aa8,40,4.05,12.794871794871796,4853.0
01bcc9d254a0143f0ce9791b960b2a47,13,4.333333333333333,12.0,1756.79
01c97ebb5cdac52891c0ed1c37ba0012,12,4.083333333333333,12.333333333333334,577.5
01cf7e3d21494c41fb86034f2e714fa1,90,4.325842696629214,9.806818181818182,12485.2
01ed254b9ff8407dfb9d99ba1e17d923,5,5.0,6.4,1465.99
01fd077212124329bac32490e8ef80d9,40,4.3,7.625,1247.0
01fdefa7697d26ad920e9e0346d4bd1b,135,4.358208955223881,10.186567164179104,15237.03
0241d4d5d36f10f80c644447315af0bd,265,4.306818181818182,10.339622641509434,33888.2
0249d282d911d23cb8b869ab49c99f53,11,4.2727272727272725,9.818181818181818,393.0
024b564ae893ce8e9bfa02c10a401ece,8,4.75,18.0,706.4000000000001
02a2272692e13558373c66db98f05e2e,2,3.0,,54.98
02b72cdeb9cfcc429f1af6f4e3f3b737,4,4.75,12.0,522.65
02c988090b766852e088c69d7fb3b551,19,4.277777777777778,9.055555555555555,1694.23
02d35243ea2e497335cd0f076b45675d,16,2.6875,25.4375,5794.0
02dcd3e8e25bee036e32512bcf175493,19,3.3157894736842106,17.58823529411765,1641.9
02ecc2a19303f05e59ce133fd923fff7,25,4.56,10.64,5503.09
02f5837340d7eb4f653d676c7256523a,30,4.833333333333333,9.166666666666666,3883.05
02f623a8eb246f3c5f7c2f96462654e6,45,4.545454545454546,8.0,6518.0
0307f7565ff85b299b6e5ef162b1b1a9,9,2.888888888888889,16.0,4762.6
0336182e1b3e92f029d5354832045fdf,2,2.0,13.0,29.8
034b9387752bfa309f350a70cd45ffa3,9,4.444444444444445,8.222222222222221,108.0
038b75b729c8a9a04b0d07cba7eabe86,2,3.5,22.5,467.0
039b29ff3b3473435d0cd59040575de9,9,4.444444444444445,8.555555555555555,114.9
039e6ad9dae79614493083e241147386,5,4.0,14.0,12925.0
03a2a6dcbe45d639c4dc2a0d24769c40,9,4.111111111111111,9.88888888888889,1078.41
03bd479e1d9484cdb14104d3023f7321,3,4.333333333333333,20.333333333333332,359.70000000000005
0417b067eeab773d2f7061a726dc477f,14,4.0,16.5,1938.77
042573af89b6d931f672efaf789d8358,4,4.0,15.5,471.98
04308b1ee57b6625f47df1d56f00eedf,94,3.882978723404255,18.42391304347826,60130.6
0432ead42b6c8a0bdf68154add917fdf,95,4.505263157894737,8.08695652173913,8091.6
044668ccd5316b12a7cf0d54a156e3e9,5,5.0,7.6,173.13
04843805947f0fc584fc1969b6e50fe7,2,5.0,15.0,1400.0
048c2757535328e0d7dac690ad3c0aae,53,4.211538461538462,17.846153846153847,9521.38
04aa0a1c5ce6b222003403a3e11c3cc0,17,3.5294117647058822,15.882352941176471,5518.0
04aba03279157f6d4e0fe8ccaf21963c,16,4.3125,11.2,2575.9
04e38a233f726ef161074ab1c9b0399a,29,3.8275862068965516,10.8,1449.1
04ee0ec01589969663ba5967c0e0bdc0,1,5.0,3.0,289.49
04fdea0c111866e6cf812f1570d6b5bd,10,3.2,17.5,1055.0
0509040ea3fe50071181bbc359eb7738,102,4.49,11.2,3851.15
052577151711aec5c744fe12e66db3e1,4,2.25,14.0,2748.0
054694fa03fe82cec4b7551487331d74,22,3.3636363636363638,29.714285714285715,9983.1
056b4ada5bbc2c50cc7842547dda6b51,66,4.123076923076923,12.307692307692308,12333.390000000001
